,rmse,r2,ccc,PICP,prediction interval width,feature_num
full,61.79872346105568,0.3180056260334123,0.41263207140968794,0.44397346378597285,39.57068625044887,483
rfecv,61.56925246022729,0.32306098539261896,0.41907630677840463,0.4348144922364648,38.71628342930025,197
rank freqency,61.19609858930925,0.331241592680417,0.4292531822334382,0.4290566713378834,38.31876568131269,134
